OBJECTID,LIFECYCLESTATUS,INSTALLDATE,ASSET_TYPE,ASSET_ID,ENTNAME,ROAD_ID,ADDRESS_ID,CIVIC_ADDRESS,OWNER,ASBUILTNUMBER,POSITION_ACCURACY,ACCESSTYPE,ACCESSDIAMETER,TOPOFCATCHBASIN,INVERTELEVATION,SUMP,x,y
7697,Active,,Single Catchbasin,10039709,L47R-89,1678,89986,154 YORK ST,City of Waterloo,,GPS +/- 0.5m,Grate,,328.566,,NI,-80.5205679177919,43.4577341359724
7698,Active,1/1/1968 12:00:00 AM,Single Catchbasin,10042510,CB-1112141,5743,76074,408 WARRINGTON DR,City of Waterloo,5-337,GPS +/- 0.5m,Grate,,352.165,,Yes,-80.5471228499515,43.4473757387981
7699,Active,1/1/1987 12:00:00 AM,Single Catchbasin,10037702,CB-1142617,1398,91317,76 AVONDALE AVE S,City of Waterloo,15-349,GPS +/- 0.5m,Grate,,329.35,,No,-80.5269962917865,43.459373981757
7700,Active,,Single Catchbasin,10041259,C2R-2A,7954,92869,490 WEBER ST N,Region of Waterloo,,GPS +/- 0.5m,Grate,,334.727,,No,-80.5353835445374,43.4909002873058
7701,Active,,Single Catchbasin,10038146,CB-1112019,173,120946,240-346 WESTCOURT PL ,City of Waterloo,,Estimated/Unknown,Grate,,0,,Yes,-80.5400862361423,43.4617756406354
7702,Active,,Single Catchbasin,10040711,CB-1110628,20573,94318,416 BELGREEN WAY,Region of Waterloo,,GPS +/- 0.5m,Grate,,353.83,,Yes,-80.5445738788761,43.4454443180439
7703,Active,,Single Catchbasin,10040054,C2R-1A,8106,92984,500 WEBER ST N,Region of Waterloo,,GPS +/- 0.5m,Grate,,334.036,,No,-80.5365451661595,43.4916963802759
7704,Active,1/1/1950 12:00:00 AM,Single Catchbasin,10044839,L51R-70,8846,91489,77 HILLCREST AVE,City of Waterloo,,GPS +/- 0.5m,Grate,,337.009,,No,-80.5292192231273,43.4570871478819
7705,Active,1/1/1953 12:00:00 AM,Single Catchbasin,10044127,CB-1164829,20547,92024,218 HILLIARD AVE,City of Waterloo,,TSS,Grate,,347.955,,Yes,-80.531847692761,43.4536902836126
7706,Active,1/1/1976 12:00:00 AM,Single Catchbasin,10038982,CB-1109164,4599,76561,86 MCCARRON CRES,City of Waterloo,5-831,GPS +/- 0.5m,Grate,,339.879,,No,-80.5519905344312,43.4581538697824
