71 3.172365 2.275981 -0.098863 -0.650397 0.317920 -0.289448 0.626204
72 3.186275 2.298951 -0.099490 -0.657234 0.302829 -0.276262 0.632469
73 3.184639 2.309055 -0.099573 -0.663756 0.286541 -0.261163 0.639622
74 3.178180 2.321459 -0.098485 -0.674281 0.256734 -0.232457 0.652225
75 3.168046 2.332190 -0.099209 -0.684009 0.224581 -0.200797 0.664361
76 3.155736 2.342564 -0.100550 -0.693507 0.189187 -0.166256 0.674993
77 3.140754 2.350682 -0.099855 -0.700675 0.153159 -0.132066 0.684219
78 3.140575 2.381488 -0.102230 -0.704129 0.131433 -0.111612 0.688818
79 3.160483 2.428102 -0.100308 -0.702780 0.132066 -0.110293 0.690286
80 3.182408 2.492894 -0.102706 -0.704514 0.128936 -0.109074 0.689303
81 3.205037 2.556188 -0.102690 -0.705485 0.126482 -0.107844 0.688958
82 3.230862 2.623944 -0.102336 -0.705947 0.126364 -0.105184 0.688918
83 3.252527 2.687746 -0.104928 -0.705224 0.125136 -0.104862 0.689931
84 3.274504 2.750481 -0.102374 -0.704331 0.125616 -0.105608 0.690642
85 3.271018 2.771051 -0.101536 -0.707250 0.105495 -0.087377 0.693566
86 3.272624 2.773571 -0.099462 -0.703875 0.107309 -0.089001 0.696508
87 3.292486 2.835102 -0.101858 -0.706815 0.109513 -0.092263 0.692754
88 3.314396 2.901602 -0.100096 -0.707478 0.109875 -0.092412 0.691998
89 3.337754 2.973568 -0.107493 -0.706998 0.110276 -0.091707 0.692520
90 3.353077 3.038052 -0.097032 -0.708334 0.110608 -0.092548 0.690988
91 3.376239 3.105539 -0.102484 -0.709563 0.110659 -0.092472 0.689727
92 3.394414 3.172723 -0.097160 -0.710419 0.112388 -0.091720 0.688667
93 3.416624 3.238994 -0.094479 -0.710592 0.112515 -0.090734 0.688598
94 3.429835 3.294272 -0.074199 -0.712182 0.109383 -0.087372 0.687894
95 3.419426 3.295665 -0.090555 -0.713154 0.081405 -0.062430 0.693460
96 3.405911 3.304124 -0.092416 -0.714368 0.056070 -0.037948 0.696487
97 3.398586 3.305367 -0.094860 -0.714439 0.042396 -0.025055 0.697962
98 3.400696 3.337782 -0.084656 -0.714953 0.041737 -0.023055 0.697545
99 3.399820 3.369520 -0.091382 -0.714380 0.021817 -0.003334 0.699410
100 3.389185 3.367277 -0.099977 -0.711324 0.017734 0.000582 0.702641
101 3.393190 3.443134 -0.099853 -0.714413 0.019755 -0.001750 0.699443
102 3.389983 3.508972 -0.105278 -0.714334 0.018949 -0.001145 0.699547
103 3.384062 3.569801 -0.114921 -0.714403 0.018886 -0.000130 0.699480
104 3.389442 3.643411 -0.108342 -0.715955 0.019747 0.001897 0.697864
105 3.386708 3.676338 -0.101977 -0.716863 0.005921 0.014303 0.697043
106 3.390141 3.682617 -0.098447 -0.716719 0.003426 0.016710 0.697153
107 3.384556 3.744058 -0.095276 -0.718806 0.004378 0.017255 0.694982
108 3.379758 3.809774 -0.090873 -0.716951 0.003460 0.017898 0.696885
109 3.384711 3.881467 -0.088145 -0.716534 0.002943 0.019533 0.697273
110 3.382362 3.950817 -0.087222 -0.715569 0.004052 0.020570 0.698228
111 3.381061 4.019353 -0.093898 -0.715919 0.004919 0.019849 0.697884
112 3.362998 4.019036 -0.086689 -0.715532 -0.014608 0.038280 0.697377
113 3.362201 4.054287 -0.091869 -0.715011 -0.009168 0.034041 0.698224
114 3.357483 4.093986 -0.091763 -0.712718 -0.017128 0.042303 0.699964
115 3.340309 4.098717 -0.094280 -0.712201 -0.044800 0.069047 0.697133
116 3.325258 4.098672 -0.093193 -0.707439 -0.077342 0.100415 0.695317
117 3.304209 4.093914 -0.095776 -0.703113 -0.100232 0.122090 0.693311
118 3.290765 4.087757 -0.093121 -0.696180 -0.135957 0.157212 0.687119
119 3.276130 4.081670 -0.092348 -0.686870 -0.170912 0.191516 0.679942
120 3.254287 4.100619 -0.092286 -0.680955 -0.192478 0.211994 0.674027
121 3.218395 4.137059 -0.092643 -0.677808 -0.192987 0.211624 0.677162
122 3.182541 4.195104 -0.082310 -0.680675 -0.194507 0.210686 0.674136
123 3.143919 4.251750 -0.079554 -0.680070 -0.196509 0.212319 0.673654
